,U,target_U,nbt,AMCmax,Greedy,EDFVD_test,LPA,OCBP,PLRS,Vestal,LWLF,LWLF_t,LWLF_n_states,EDFVD,EDFVD_t,EDFVD_n_states
33,0.42950998185117967,0.43,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.558025121688843,2307.0,1.0,5.341471910476685,1986.0
34,0.425,0.43,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.1025052070617676,184.0,1.0,2.0953519344329834,184.0
35,0.43141414141414136,0.43,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.738107919692993,1122.0,1.0,3.6063191890716553,1083.0
36,0.42786511156186613,0.43,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.694532155990601,3033.0,1.0,6.5585410594940186,2949.0
37,0.43431855500821015,0.43,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.8429832458496094,402.0,1.0,3.137436866760254,402.0
38,0.434640522875817,0.43,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5663270950317383,252.0,1.0,1.5417170524597168,230.0
39,0.4342105263157895,0.43,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.422062873840332,1854.0,1.0,4.6098082065582275,1839.0
40,0.4369047619047619,0.44,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.9477341175079346,270.0,1.0,2.2292048931121826,252.0
41,0.44047619047619047,0.44,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.2802963256835938,152.0,1.0,2.0587289333343506,152.0
42,0.4444444444444444,0.44,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.4947116374969482,90.0,1.0,1.3220741748809814,90.0
43,0.4423076923076923,0.44,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.461707830429077,418.0,1.0,2.617050886154175,390.0
44,0.44482758620689655,0.44,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.1305463314056396,238.0,1.0,2.1366541385650635,214.0
45,0.44252873563218387,0.44,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.89551591873169,4419.0,1.0,9.175271034240723,3291.0
46,0.437037037037037,0.44,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.3471457958221436,234.0,1.0,2.251638889312744,234.0
47,0.44130434782608696,0.44,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.2701590061187744,194.0,1.0,2.047644853591919,144.0
48,0.44000000000000006,0.44,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.3028080463409424,162.0,1.0,2.2802107334136963,162.0
49,0.4444444444444444,0.44,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0037219524383545,140.0,1.0,0.994924783706665,140.0
50,0.4477564102564102,0.45,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.1771080493927,2094.0,1.0,4.8826868534088135,1746.0
51,0.45168067226890757,0.45,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.2129709720611572,552.0,1.0,2.13545298576355,540.0
52,0.45333333333333337,0.45,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.1474380493164062,124.0,1.0,2.0411391258239746,94.0
53,0.45,0.45,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.1003119945526123,144.0,1.0,1.0872511863708496,144.0
54,0.4532861774241085,0.45,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.219705104827881,1680.0,1.0,4.207530975341797,1596.0
55,0.4537037037037037,0.45,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.49190092086792,336.0,1.0,2.5836148262023926,336.0
56,0.4472934472934473,0.45,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.3387601375579834,258.0,1.0,2.564934015274048,270.0
57,0.4529220779220779,0.45,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.591042995452881,4320.0,1.0,6.420208930969238,3207.0
58,0.44612068965517243,0.45,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.692986249923706,196.0,1.0,1.498534917831421,186.0
59,0.4534412955465587,0.45,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.3358490467071533,308.0,1.0,2.4352619647979736,300.0
60,0.4603448275862069,0.46,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.5777242183685303,206.0,1.0,2.7873940467834473,206.0
61,0.46163682864450134,0.46,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.079707145690918,318.0,1.0,2.328587770462036,318.0
62,0.4581939799331104,0.46,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.427037000656128,508.0,1.0,2.448418140411377,476.0
63,0.45555555555555555,0.46,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.088076114654541,88.0,1.0,2.221343994140625,88.0
64,0.45634920634920634,0.46,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.4889190196990967,446.0,1.0,2.671329975128174,440.0
65,0.4613793103448276,0.46,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.8879849910736084,516.0,1.0,2.9638009071350098,496.0
66,0.45555555555555555,0.46,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.595257043838501,74.0,1.0,1.7135770320892334,74.0
